timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
0.000,-4.1108,8.3318,5.2361,0.2241,0.0211,0.0040
0.020,-4.0582,8.4060,5.2768,0.2249,0.0192,0.0056
0.040,-4.0534,8.3606,5.2792,0.2244,0.0208,0.0043
0.060,-4.0462,8.3893,5.3103,0.2254,0.0195,0.0035
0.080,-4.0845,8.3414,5.2816,0.2244,0.0189,0.0053
0.100,-4.0749,8.4228,5.2936,0.2265,0.0218,0.0005
0.120,-4.0749,8.3246,5.2170,0.2238,0.0181,0.0013
0.140,-4.1228,8.3606,5.3893,0.2254,0.0208,0.0069
0.160,-4.0462,8.3869,5.2553,0.2257,0.0195,0.0053
0.180,-4.1084,8.3462,5.2385,0.2236,0.0200,0.0043
0.200,-4.1300,8.4084,5.3534,0.2257,0.0181,0.0021
0.220,-4.0845,8.3917,5.3247,0.2265,0.0176,0.0061
0.240,-4.1061,8.3318,5.1811,0.2246,0.0203,0.0064
0.260,-4.0821,8.3821,5.2984,0.2233,0.0213,0.0067
0.280,-4.0773,8.3869,5.3415,0.2244,0.0197,0.0048
0.300,-4.0893,8.3869,5.2074,0.2252,0.0189,0.0005
0.320,-4.0654,8.3510,5.2744,0.2220,0.0205,0.0011
0.340,-4.1061,8.3845,5.3151,0.2249,0.0218,0.0037
0.360,-4.1228,8.3582,5.3175,0.2268,0.0216,0.0013
0.380,-4.0390,8.3246,5.3846,0.2270,0.0189,0.0053
0.400,-4.0749,8.3606,5.2960,0.2254,0.0192,0.0016
0.420,-4.1372,8.3989,5.2960,0.2252,0.0211,0.0029
0.440,-4.1108,8.4348,5.2553,0.2241,0.0229,-0.0016
0.460,-4.0821,8.3558,5.2577,0.2228,0.0184,0.0019
0.480,-4.1180,8.3246,5.2720,0.2246,0.0208,0.0035
0.500,-4.0845,8.4156,5.3822,0.2241,0.0179,0.0040
0.520,-4.0701,8.3127,5.3463,0.2238,0.0187,0.0016
0.540,-4.0582,8.3390,5.2744,0.2252,0.0213,0.0075
0.560,-4.1515,8.3653,5.2553,0.2260,0.0171,0.0027
0.580,-4.1539,8.3989,5.2385,0.2238,0.0216,0.0040
0.600,-4.1061,8.3534,5.1619,0.2249,0.0205,0.0008
0.620,-4.1587,8.3294,5.2960,0.2252,0.0208,0.0024
0.640,-4.0701,8.3965,5.3056,0.2254,0.0179,0.0008
0.660,-4.0773,8.4563,5.1834,0.2236,0.0208,0.0059
0.680,-4.0965,8.3893,5.3056,0.2244,0.0184,0.0011
0.700,-4.1084,8.3606,5.3247,0.2249,0.0203,0.0069
0.720,-4.1084,8.3677,5.2194,0.2268,0.0195,0.0027
0.740,-4.1108,8.3893,5.2050,0.2236,0.0176,0.0067
0.760,-4.1396,8.4180,5.2505,0.2252,0.0211,0.0027
0.780,-4.1013,8.3773,5.2840,0.2257,0.0200,0.0029
0.800,-4.1013,8.4013,5.2313,0.2241,0.0171,0.0048
0.820,-4.1324,8.3438,5.2002,0.2246,0.0205,0.0043
0.840,-4.0821,8.3941,5.2433,0.2254,0.0181,0.0013
